	getSpeed()	0.00	1.07	3.23	0.00	0.00	-1.17	0.00	0.00	-1.17	0.00	-1.17	pid.getOutput()	-1.17	-3
	getSpeed()	0.00	1.07	3.23	0.00	0.00	-1.17	0.00	0.00	-1.17	0.00	-1.17	pid.getOutput()	-1.17	-3
	getSpeed()	0.00	1.07	3.23	0.00	0.00	-1.17	0.00	0.00	-1.17	0.00	-1.17	pid.getOutput()	-1.17	-3
	getSpeed()	0.00	1.07	3.23	0.00	0.00	-1.17	0.00	0.00	-1.17	0.00	-1.17	pid.getOutput()	-1.17	-3
	getSpeed()	0.00	1.07	3.23	0.00	0.00	-1.17	0.00	0.00	-1.17	0.00	-1.17	pid.getOutput()	-1.17	-3
	getSpeed()	0.00	1.07	3.23	0.00	0.00	-1.17	0.00	0.00	-1.17	0.00	-1.17	pid.getOutput()	-1.17	-3
	getSpeed()	0.00	1.07	3.23	0.00	0.00	-1.17	0.00	0.00	-1.17	0.00	-1.17	pid.getOutput()	-1.17	-3
	getSpeed()	0.00	1.07	3.23	0.00	0.00	-1.17	0.00	0.00	-1.17	0.00	-1.17	pid.getOutput()	-1.17	-3
	getSpeed()	0.00	1.07	3.23	0.00	0.00	-1.17	0.00	0.00	-1.17	0.00	-1.17	pid.getOutput()	-1.17	-3
	getSpeed()	0.00	1.07	3.23	0.00	0.00	-1.17	0.00	0.00	-1.17	0.00	-1.17	pid.getOutput()	-1.17	-3
	getSpeed()	0.00	1.07	3.23	0.00	0.00	-1.17	0.00	0.00	-1.17	0.00	-1.17	pid.getOutput()	-1.17	-3
	getSpeed()	0.00	1.07	3.23	0.00	0.00	-1.17	0.00	0.00	-1.17	0.00	-1.17	pid.getOutput()	-1.17	-3
	getSpeed()	0.00	1.07	3.23	0.00	0.00	-1.17	0.00	0.00	-1.17	0.00	-1.17	pid.getOutput()	-1.17	-3
	getSpeed()	0.00	1.07	3.23	0.00	0.00	-1.17	0.00	0.00	-1.17	0.00	-1.17	pid.getOutput()	-1.17	-3
	getSpeed()	0.00	1.07	3.23	0.00	0.00	-1.17	0.00	0.00	-1.17	0.00	-1.17	pid.getOutput()	-1.17	-3
	getSpeed()	0.00	1.07	3.23	0.00	0.00	-1.17	0.00	0.00	-1.17	0.00	-1.17	pid.getOutput()	-1.17	-3
	getSpeed()	0.00	1.07	3.23	0.00	0.00	-1.17	0.00	0.00	-1.17	0.00	-1.17	pid.getOutput()	-1.17	-3
	getSpeed()	0.00	1.07	3.23	0.00	0.00	-1.17	0.00	0.00	-1.17	0.00	-1.17	pid.getOutput()	-1.17	-3
	getSpeed()	0.00	1.07	3.23	0.00	0.00	-1.17	0.00	0.00	-1.17	0.00	-1.17	pid.getOutput()	-1.17	-3
	getSpeed()	0.00	1.07	3.23	0.00	0.00	-1.17	0.00	0.00	-1.17	0.00	-1.17	pid.getOutput()	-1.17	-3
	getSpeed()	0.00	1.07	3.23	0.00	0.00	-1.17	0.00	0.00	-1.17	0.00	-1.17	pid.getOutput()	-1.17	-3
	getSpeed()	0.00	1.07	3.23	0.00	0.00	-1.17	0.00	0.00	-1.17	0.00	-1.17	pid.getOutput()	-1.17	-3
	getSpeed()	0.00	1.07	3.23	0.00	0.00	-1.17	0.00	0.00	-1.17	0.00	-1.17	pid.getOutput()	-1.17	-3
	getSpeed()	0.00	1.07	3.23	0.00	0.00	-1.17	0.00	0.00	-1.17	0.00	-1.17	pid.getOutput()	-1.17	-3
	getSpeed()	0.00	1.07	3.23	0.00	0.00	-1.17	0.00	0.00	-1.17	0.00	-1.17	pid.getOutput()	-1.17	-3
	getSpeed()	0.00	1.07	3.23	0.00	0.00	-1.17	0.00	0.00	-1.17	0.00	-1.17	pid.getOutput()	-1.17	-3
	getSpeed()	0.00	1.07	3.23	0.00	0.00	-1.17	0.00	0.00	-1.17	0.00	-1.17	pid.getOutput()	-1.17	-3
	getSpeed()	0.00	1.07	3.23	0.00	0.00	-1.17	0.00	0.00	-1.17	0.00	-1.17	pid.getOutput()	-1.17	-3
	getSpeed()	0.00	1.07	3.23	0.00	0.00	-1.17	0.00	0.00	-1.17	0.00	-1.17	pid.getOutput()	-1.17	-3
	getSpeed()	0.00	1.07	3.23	0.00	0.00	-1.17	0.00	0.00	-1.17	0.00	-1.17	pid.getOutput()	-1.17	-3
	getSpeed()	0.00	1.07	3.23	0.00	0.00	-1.17	0.00	0.00	-1.17	0.00	-1.17	pid.getOutput()	-1.17	-3
	getSpeed()	0.00	1.07	3.23	0.00	0.00	-1.17	0.00	0.00	-1.17	0.00	-1.17	pid.getOutput()	-1.17	-3
	getSpeed()	0.00	1.07	3.23	0.00	0.00	-1.17	0.00	0.00	-1.17	0.00	-1.17	pid.getOutput()	-1.17	-3
	getSpeed()	0.00	1.07	3.23	0.00	0.00	-1.17	0.00	0.00	-1.17	0.00	-1.17	pid.getOutput()	-1.17	-3
	getSpeed()	0.00	1.07	3.23	0.00	0.00	-1.17	0.00	0.00	-1.17	0.00	-1.17	pid.getOutput()	-1.17	-3
	getSpeed()	0.00	1.07	3.23	0.00	0.00	-1.17	0.00	0.00	-1.17	0.00	-1.17	pid.getOutput()	-1.17	-3
	getSpeed()	0.00	1.07	3.23	0.00	0.00	-1.17	0.00	0.00	-1.17	0.00	-1.17	pid.getOutput()	-1.17	-3
	getSpeed()	0.00	1.07	3.23	0.00	0.00	-1.17	0.00	0.00	-1.17	0.00	-1.17	pid.getOutput()	-1.17	-3
	getSpeed()	0.00	1.07	3.23	0.00	0.00	-1.17	0.00	0.00	-1.17	0.00	-1.17	pid.getOutput()	-1.17	-3
	getSpeed()	0.00	1.07	3.23	0.00	0.00	-1.17	0.00	0.00	-1.17	0.00	-1.17	pid.getOutput()	-1.17	-3
	getSpeed()	0.00	1.07	3.23	0.00	0.00	-1.17	0.00	0.00	-1.17	0.00	-1.17	pid.getOutput()	-1.17	-3
	getSpeed()	0.00	1.07	3.23	0.00	0.00	-1.17	0.00	0.00	-1.17	0.00	-1.17	pid.getOutput()	-1.17	-3
	getSpeed()	0.00	1.07	3.23	0.00	0.00	-1.17	0.00	0.00	-1.17	0.00	-1.17	pid.getOutput()	-1.17	-3
	getSpeed()	0.00	1.07	3.23	0.00	0.00	-1.17	0.00	0.00	-1.17	0.00	-1.17	pid.getOutput()	-1.17	-3
	getSpeed()	0.00	1.07	3.23	0.00	0.00	-1.17	0.00	0.00	-1.17	0.00	-1.17	pid.getOutput()	-1.17	-3
	getSpeed()	0.00	1.07	3.23	0.00	0.00	-1.17	0.00	0.00	-1.17	0.00	-1.17	pid.getOutput()	-1.17	-3
	getSpeed()	0.00	1.07	3.23	0.00	0.00	-1.17	0.00	0.00	-1.17	0.00	-1.17	pid.getOutput()	-1.17	-3
	getSpeed()	0.00	1.07	3.23	0.00	0.00	-1.17	0.00	0.00	-1.17	0.00	-1.17	pid.getOutput()	-1.17	-3
	getSpeed()	0.00	1.07	3.23	0.00	0.00	-1.17	0.00	0.00	-1.17	0.00	-1.17	pid.getOutput()	-1.17	-3
	getSpeed()	0.00	1.07	3.23	0.00	0.00	-1.17	0.00	0.00	-1.17	0.00	-1.17	pid.getOutput()	-1.17	-3
